0	0	0	0
2	0.00826446	0.0166667	0
4	0.0194175	0.0196078	0
6	0.042735	0.0862069	0
8	0.047619	0.047619	0.0333333
10	0.0347826	0.0350877	0
12	0.0423729	0.0338983	0.047619
14	0.0510949	0.0588235	0.0333333
16	0.0645161	0.0645161	0
18	0.0895522	0.104478	0
20	0.0645161	0.0483871	0.0333333
22	0.0720721	0.0545455	0.0384615
24	0.122951	0.180328	0.0333333
26	0.144068	0.152542	0.0357143
28	0.136	0.177419	0
30	0.101563	0.078125	0.0952381
32	0.117647	0.101695	0.0357143
34	0.141791	0.164179	0
36	0.158273	0.246377	0.0285714
38	0.132231	0.133333	0.0666667
40	0.129032	0.129032	0.0666667
42	0.1875	0.203125	0.031746
44	0.184397	0.171429	0.0588235
46	0.212598	0.190476	0.031746
48	0.15625	0.15625	0.0625
50	0.203125	0.265625	0
52	0.170543	0.171875	0.03125
54	0.181818	0.25	0
56	0.173611	0.166667	0.0555556
58	0.202899	0.173913	0.0882353
